Word,Type,Sense A Sentence 1,Sense A Sentence 2,Sense A Sentence 3,Sense B Sentence 1,Sense B Sentence 2,Sense B Sentence 3,Sense A Standardized,Sense B Standardized
Bank,Homonymy,The contributor or donor makes a contribution or donation by means of a check or other written instrument drawn on a foreign bank or by a wire transfer from a foreign bank.,Well today's announcement by the Reserve Bank of a cut in the official interest rates is good news. ,"Each day, a lot of people directly and indirectly come in contact with the Bank of Lithuania, the central bank of the Republic of Lithuania. T","From Dettifoss onwards south to road 1, on the west bank , there is a new, paved road which is passable for all vehicles. ",They saw his head and shoulder gradually emerged from the river as he treaded on the shallow water of the river bank .,"The Nentsy had to get a herd of reindeer across a frozen river, so a group of Orthodox faithful gathered on the river bank , got down on their knees and started to pray for a safe crossing. ",The employee cashes his paycheck at the bank of America,The rowers pull the canoe onto the bank of the river
Ball,Homonymy,My last homecoming dance and my Senior Ball was the last time I roamed freely through the halls. ,"Several occasions mainly includes the following: banquet, pyrex , ball , concerts and parties. ","Once again, the Annual Ball 2015 on October 9, 2015 proved to be the social highlight of the SA-German business community.","Oh dear, Carlton Cole is momentarily unmarked six yards from goal but the ball is caught under his feet and he cannot get a shot off. ",Robbie Keane picks the ball up and breaks into the edge of the Arsenal box. ,"I wasn't aware of the duplicity but did note our team seemed off their game, not clearing the ball , making poor passes, and missing shots.",The dancers at the ball know how to party,The boy caught the ball before it hit the ground
Bat,Homonymy, In the case of bats – unidentified bat sightings can be recorded as 'bat species'.,"Apparently you do not need to add sauce to enjoy a fried bat (pictured right), you simply eat it as it is.","That should be considered in the ""threatened"" listing of Northern Long Eared Bat (NLEB) under these laws.",I see a side view of a baseball bat lying on a dark surface down below.,"And because Brandiose was involved, one of their new alternate logos features a character swinging a bat recklessly","Selecta simple consumer product, such as a wooden baseball bat , bottled spring water, fresh-consumption tomatoes, and so forth.",The explorer saw the bat in the cave,The baseball star signed the bat after the home run
Deck,Homonymy,"Cargo was loaded and unloaded on the wharves constructed with timber piles and a concrete deck , but by the 1960s containerised cargo began to be used.",The rear deck and staircase structure is approximately 10 feet above grade with 3.5 feet high open railings above., This distinctive wooden rooftop deck crowns the Center and is the secret gem of the Arts District–an ideal spot for any intimate affair.,Today I presented at the Dutch Webanalytics Conference and this was my slide deck (mostly in Dutch).,The deck seems stacked.,Someone had a deck of cards that would make that printer sing!,The sailor sweeps the deck of the ship,The gambler wins the deck of cards
Lap,Homonymy,"We believe we can fall back into the lap of teaching that was once considered effective and expect our beautiful deliveries filled with humor, and irony.","Joan Rivers, who sat there with her little dog on her lap and regaled me with stories about being a comedian. ",But the last time she was sitting in my lap and her feet didn't touch the ground.,"But as you come around each lap , you look at the clock and you realize you're running faster than you thought.","On the first lap of the final run, Bouteloup was compromised nearly straight away as he tagged the wall come out of the first half loop."," The last lap , a 20-mile trip from Lorengau to Pere, was still by outrigger canoe, but now propelled by an outboard motor.",The little girl bounced on her mother's lap,The runner won the race at the last lap
Port,Homonymy, Madera country has been growing and producing some of the finest ports and desert wines in the US for over 100 years.,"In the Douro valley, where the famous Port is produced, spend the night at the CS Vintage House Hotel",Guests can enjoy a glass of classic port in the hotel's bar or relax in the garden area.,The novel tells of a man found on the quayside in the Italian port of Trieste in the early autumn of 1943.,"official business travel website Great Yarmouth's economy has long been influenced by activity at the river port , initially by the fishing industry when herring provided Great Yarmouth's main source of income in the late 1800's",Thai authorities detained the vessel and catch when it entered the port of Phuket in March; investigations are ongoing.,The wine taster pours the port from his glass,The ship docks at the port for the night
Punch,Homonymy,"After washing down the food with some punch , he cleared his throat and looked behind him to Ice Storm.","So he walks over to where the punch is, and there's no punch line.","""Drinks? well, i guess i could go for some punch . """," With games you can come up with a one-two punch that engages people of all ages and teaches them about earth science, or the periodic table, or physics. ","Although starting from 1995 these embarrassing methods were fought off as a punch into their face at torture centres, it can be seen that the same counter-guerrilla tactics are continued to be applied.",A large part of the challenge is that the best solution often lacks the punch of immediacy. ,The student drank his punch at the party,The boxer practiced his punch at the gym
Ruler,Homonymy,The Church therefore had no right to instruct the Ruler in any way and that the Ruler had no right to instruct the Church. ,"A Prince, whose character is thus marked by every act which may define a Tyrant, is unfit to be the ruler of a free people. ","I think he was probably at least a competent ruler , if not a good one.","The packs included six exercise books, two maths books, a drawing book, pencil case with two grey leads, a pen, ruler , eraser and sharpener. ",I think we should put the carrots in the tool box. They are long and skinny like a ruler . ,"Grab some materials, that being a ruler , knife, duct tape, thumb drives and creativity. ",The military assassinates the ruler to win the war,The architect uses the ruler to draw a line
Staff,Homonymy,There is a long staff in the crook of her left arm and a flame-like aura around her whole form. ," The robed victim still clutched a staff , shod in iron at both ends and carved with countless shapes and designs.","He had seen 17th century painting of a man being hanged and around him, in the crowd were these fellows in the hoods, holding up long staffs with the sacred host on the end.","The NFL Life Line provides current and former players, family members and team and league staff with a secure, confidential and independent resource for any personal or emotional crisis.","Residence Life staff , including Hall Directors and Resident Assistants (RAs), reside within all areas to help resident students build their communities","Over the past year and a half, science staff at the Albany Pine Bush Preserve have been working diligently documenting wildlife using Reconyx wildlife cameras.",The wizard waves his staff to split the sea,The boss pays his staff to work all day
Tear,Homonymy,I recently found out that I may have a slight tear in my left labrum and this is after undergoing a labrum repair surgery on my left shoulder about 20 months ago.,There is no disclosure of treating an annular tear or fissure., A uterine rupture is a tear or hole in the uterus.,"I wipe my tear , a bit put-off and say, ""well you must have been very close then before 10 years ago, maybe regretting you didn't get to go""","Towards the end of the film, she sheds a single tear as she realises her role model the TV reporter is ultimately responsible for the disaster, before running to catch up.","Although he might shed a discreet tear at a funeral, and it's acceptable for him to well up when he slams his fingers in a car door, a real man is expected to hold it together.",The pants have a tear in the middle,The boy has a tear on his cheek
Mass,Homonymy,He worked in the slums and celebrated mass with the drug addicts and people living with Aids.,"Pope Francis said during the Mass , ""He must open his arms to protect all of God's people and embrace with tender affection the whole of humanity""","During the week he took them shopping and then went to evening mass. He was also responsible for putting the patients to bed, and helping them with their medications. ","Using a variety of econometric strategies, Coffey estimated the pre-pregnancy body mass and weight gain during pregnancy in India and sub-Saharan Africa. ","They did it in order to improve basic science, and optimally deploy and refurbish these sensors, in an effort to predict the gradual mass loss due to climate change, and rapid events of avalanches and flood pulses.",The amount of mass or number of particles per unit volume .,The priest leads the mass in Latin,The bomb converts mass into energy
Spring,Homonymy,"In the Spring of 2013, I got a strange and strong feeling pulling me to an music camp in Portal, AZ.","In late spring of 2014, Creative Time presented the first large-scale public project by Kara Walker.","Personally, I'll miss fall and spring tremendously and can't condone their actions.","As an analogy, imagine the metal coil of a spring.","Marketed as the safest trampoline, flexible fiberglass rods replace traditional metal springs and are located beneath the jumping surface for a safer and more natural bounce.",Our heavy gauge metal springs are the heaviest in the industry. ,The gardener loves spring because of the warm weather,The watch is missing a spring because it stopped ticking
Pen,Homonymy,"When I mention that I'm a writer, it is not but a few short moments before I am handed the small pen and the disheveled stack of paper with which I am writing this very document.","It is equivalent to being instructed, in a meatspace/corporeal situation, to use only one graphic medium, i.e. ball point pen , charcoal, ink pen, whatnot, providing just enough aesthetic continuity.","She took my pen and the paper I'd had in my hand, and she started writing her name on it, pronouncing it with her whole heart and spirit.","Its diagonal gait took it to each corner of the pen , whereupon it reared back and then raced to the next corner.","""Mic check. Those of you who do not want to be arrested, please stand over there! "" He points inside the pen . ",She leaves the pen and scolds the officers as they try to deter her from standing on the sidewalk.,The farmer cleans the pig pen every week,The writer holds the pen to the paper
Cell,Homonymy,"Somehow Alvarez survived the bullets in the plaza, and was then shut into a cell in the notorious Lecumberri prison for two years and eight months.",The building was once occupied by squatters and then prisoners when it became a holding cell for the Park Police. ,"There, the holding cell is even filthier, and while we are the first to arrive, by 8am the room is full to capacity with some 30 new inmates. ",Or were the changes synaptically driven with the drugs I was adding affecting not the cell I was recording but the surrounding neurons which synapse with it.,"When dividing and multiplying, a ""parent"" cell must segregate with exquisite precision each of its 46 chromosomes so that two ""daughter"" cells inherit all of its genetic information.",They identified the mechanisms that lead to tumor formation and the processes underlying the evolution of a normal cell into a cancer cell. ,The prisoner escapes his cell at night,The virus attacks the cell from the inside
Date,Homonymy,"Going out to dinner, whether for a date or just a fun night out with friends, doesn't have to mean leaving your diet at home. ","It is elegant and chic enough for a romantic date , yet homely enough for casual dining. ","All our ladies are upper class and are available for a date in the hotel room, at your home or at your apartement, but also for business meetings.",The date of his death is given us by the necrology preserved in the monastery . ,"If deposited, then within sixty days from the date of the treasurer's receipt the treasurer shall take the following action, as appropriate",The date on which the election would have been held shall be considered to be the date of the election.,The couple went on a date at the fancy restaurant,The couple set a date for the wedding
Scale,Homonymy,The work of John and his team has been nothing short of amazing in terms of the scale of this research project and the colossal operational mechanics of managing it. ,"The region, especially those deeply implicated in Middle East dynamics, would be pitching in, especially given the scale of the developing catastrophe. ","On a commodities scale , there is potential for dramatic savings that will help make renewable fuels competitive with fuels derived from oil.", To our horror after again passing disco floor shimmering fish scales and an again clear robin's egg blue sky unfurled far beyond all the hills we found the family ill.,"In a recent U.S. Army-funded study, we used nanotechnological methods to study the structure of scales of the fish Polypterus senegalus, leading to more effective ways of designing human body armor.","Like the scales of the fish feeding off the growth accumlating on their slow moving surfaces, the collection of components flex in much more organic ways.",This newspaper exaggerates the scale of the incident,This fish changes its scale colors to camouflage 
Bass,Homonymy,You can use this to bring out the bass and high frequencies whilst tempering the midrange for example.,"Gibbons' stoic presence on bass was contrasted by Morrongiello's fast-paced, jackrabbit style drumming and Sindora's animated bobbing. ","Learn about String Instruments Festival Strings is a string quartet, composed of violin, viola, cello, and bass , that demonstrates not only the characteristics of each instrument",The red swamp crayfish eats tadpoles and bass and trout eggs.,"If the Endangered Species Act had any teeth in Mexico, we might have a chance to save the giant sea bass (totoaba), clams, the Sea of Cortez shrimp fishery that depends upon freshwater returns, and dozens of bird species.","My partner had sea bass served in a foam which was light, delicate and very healthy.",The musician plays bass at the concert,The fisherman catches bass in the ocean
