startYear,runtimeMinutes,numVotes,averageRating
1942.0,112.0,6431,7.6
1942.0,67.0,1007,6.5
1942.0,97.0,4135,6.8
1942.0,107.0,3624,7.1
1942.0,71.0,1484,7.6
1942.0,86.0,1196,6.1
1942.0,84.0,2664,7.4
1942.0,70.0,125818,7.3
1944.0,84.0,2240,7.7
1942.0,88.0,1095,6.5
1942.0,87.0,3830,6.8
1942.0,114.0,1329,6.4
1942.0,102.0,500123,8.5
1942.0,62.0,1173,7.2
1942.0,73.0,18739,7.3
1942.0,94.0,2263,7.7
1942.0,64.0,2710,4.5
1942.0,83.0,1069,6.7
1942.0,107.0,1906,6.9
1943.0,119.0,1780,7.2
1942.0,80.0,1185,7.0
1942.0,118.0,1516,7.0
1942.0,102.0,3374,6.8
1942.0,104.0,2990,7.1
1942.0,104.0,3075,7.6
1942.0,93.0,1390,7.0
1942.0,67.0,5221,6.2
1942.0,85.0,5276,7.1
1943.0,109.0,1028,7.1
1942.0,100.0,12604,7.4
1942.0,77.0,6395,7.2
1942.0,88.0,1076,6.4
1942.0,97.0,3852,7.4
1942.0,114.0,4912,7.2
1942.0,81.0,1588,6.1
1943.0,68.0,3671,6.5
1942.0,108.0,3621,6.7
1942.0,100.0,2098,6.8
1942.0,127.0,3767,7.5
1942.0,95.0,2191,7.3
1942.0,77.0,1447,3.3
1942.0,88.0,21216,7.7
1943.0,78.0,1078,7.4
1942.0,100.0,5858,7.4
1942.0,101.0,1029,6.7
1942.0,94.0,1350,6.9
1942.0,134.0,15104,7.6
1942.0,61.0,2676,5.7
1942.0,78.0,1126,7.2
1942.0,96.0,1247,7.0
1942.0,73.0,1099,6.3
1942.0,117.0,14402,7.9
1942.0,117.0,2460,6.5
1942.0,102.0,1769,7.0
1943.0,140.0,6428,7.7
1942.0,88.0,10344,7.5
1942.0,84.0,2084,7.0
1942.0,52.0,1811,7.0
1942.0,128.0,9402,7.7
1942.0,121.0,1062,7.8
1942.0,126.0,6616,8.0
1942.0,123.0,2783,6.7
1942.0,104.0,1313,6.3
1942.0,82.0,1371,6.7
1942.0,91.0,1083,6.2
1942.0,82.0,4936,7.1
1942.0,75.0,1551,6.9
1942.0,109.0,22127,7.2
1942.0,68.0,5115,6.6
1942.0,65.0,3919,6.6
1942.0,98.0,1370,7.1
1942.0,87.0,2303,6.7
1942.0,118.0,1907,7.4
1942.0,118.0,6901,7.5
1942.0,71.0,3014,6.6
2001.0,118.0,76812,6.4
1942.0,92.0,2959,7.5
1942.0,110.0,1010,6.8
1942.0,81.0,7940,7.5
1942.0,99.0,24890,8.3
1942.0,105.0,1407,6.3
1942.0,63.0,1061,6.2
1942.0,120.0,1813,7.3
1942.0,88.0,1714,6.8
1942.0,77.0,2166,7.5
1942.0,114.0,8667,7.2
1942.0,126.0,13425,7.7
1942.0,97.0,3086,7.3
1943.0,90.0,1734,6.5
1943.0,126.0,3337,7.0
1943.0,124.0,2809,7.0
1943.0,90.0,1230,7.3
1943.0,64.0,1076,4.5
1943.0,114.0,2170,6.9
1943.0,260.0,1758,6.4
1943.0,98.0,2641,7.1
1943.0,112.0,1143,6.8
1943.0,92.0,8405,7.9
1943.0,106.0,1310,6.3
1943.0,64.0,1213,4.7
1943.0,70.0,1946,6.3
1943.0,87.0,1045,6.5
1943.0,135.0,4461,7.1
1943.0,99.0,1018,6.3
1943.0,101.0,1180,6.3
1943.0,94.0,1172,6.6
1943.0,96.0,4729,7.3
1943.0,170.0,8004,6.9
1943.0,74.0,7341,6.5
1943.0,103.0,1496,6.6
1943.0,69.0,2872,6.6
1943.0,67.0,1158,5.1
1943.0,99.0,1484,6.8
1943.0,93.0,1939,6.7
1943.0,88.0,1219,6.1
1943.0,120.0,2133,7.0
1943.0,134.0,4348,7.4
1943.0,112.0,9210,7.5
1943.0,82.0,1382,6.9
