qtype,context,chosen,target,pre,post,id,delta
1,f,ol,ol,0,3,A15PHPJA7AWCS3,3
1,b,ih,ih,0,3,A15PHPJA7AWCS3,3
1,g,ol,ih,0,-2,A15PHPJA7AWCS3,-2
1,m,il,ol,0,0,A15PHPJA7AWCS3,0
1,f,il,ih,0,-3,A2E0LU8V4EUX5C,-3
1,b,il,oh,0,0,A2E0LU8V4EUX5C,0
1,g,ih,ol,0,0,A2E0LU8V4EUX5C,0
1,m,oh,oh,0,3,A2E0LU8V4EUX5C,3
1,f,oh,ih,0,0,A3EZ3BRM1C5WKV,0
1,b,ol,ol,0,3,A3EZ3BRM1C5WKV,3
1,g,ol,il,0,-3,A3EZ3BRM1C5WKV,-3
1,m,ol,ih,0,-3,A3EZ3BRM1C5WKV,-3
1,f,ih,il,0,-2,A1WS9UHL45VZ0X,-2
1,b,oh,oh,0,3,A1WS9UHL45VZ0X,3
1,g,ih,ol,0,-2,A1WS9UHL45VZ0X,-2
1,m,oh,oh,0,3,A1WS9UHL45VZ0X,3
1,f,il,ih,0,-3,A34OBJP7DD6MWZ,-3
1,b,il,oh,0,0,A34OBJP7DD6MWZ,0
1,g,il,oh,0,0,A34OBJP7DD6MWZ,0
1,m,ih,oh,0,0,A34OBJP7DD6MWZ,0
1,f,ol,oh,0,-3,A1DNJ17PE2RYJZ,-3
1,b,ih,il,0,-3,A1DNJ17PE2RYJZ,-3
1,g,oh,oh,0,3,A1DNJ17PE2RYJZ,3
1,m,il,ol,0,0,A1DNJ17PE2RYJZ,0
1,f,ih,il,0,0,A3QNCW3LR2AVOV,0
1,b,ih,ol,0,0,A3QNCW3LR2AVOV,0
1,g,ih,ih,0,3,A3QNCW3LR2AVOV,3
1,m,ol,il,0,-1,A3QNCW3LR2AVOV,-1
1,f,ol,oh,0,-3,AUL4D1QPEHZXE,-3
1,b,oh,ih,0,-3,AUL4D1QPEHZXE,-3
1,g,ol,ol,0,3,AUL4D1QPEHZXE,3
1,m,oh,ih,0,-3,AUL4D1QPEHZXE,-3
1,f,oh,ol,0,0,A1SIXXTFZDSKMA,0
1,b,ol,il,0,-3,A1SIXXTFZDSKMA,-3
1,g,oh,il,0,0,A1SIXXTFZDSKMA,0
1,m,il,ol,0,0,A1SIXXTFZDSKMA,0
1,f,il,oh,0,0,A2RINH8P33GL6H,0
1,b,ih,oh,0,0,A2RINH8P33GL6H,0
1,g,il,ol,0,0,A2RINH8P33GL6H,0
1,m,ol,oh,0,0,A2RINH8P33GL6H,0
1,f,oh,ih,0,-3,A2Y0WNHMT4PZ4C,-3
1,b,il,ih,0,0,A2Y0WNHMT4PZ4C,0
1,g,ih,oh,0,0,A2Y0WNHMT4PZ4C,0
1,m,il,ol,0,0,A2Y0WNHMT4PZ4C,0
1,f,ih,il,0,-2,A3K9GTQBOI7O5A,-2
1,b,oh,il,0,1,A3K9GTQBOI7O5A,1
1,g,oh,il,0,2,A3K9GTQBOI7O5A,2
1,m,oh,ih,0,2,A3K9GTQBOI7O5A,2
1,f,ol,ol,0,3,A3VP27UUQ34OXK,3
1,b,ol,ol,0,3,A3VP27UUQ34OXK,3
1,g,ol,ih,0,-1,A3VP27UUQ34OXK,-1
1,m,ih,il,0,-2,A3VP27UUQ34OXK,-2
1,f,oh,ol,0,0,A2KRPK3GQR0GA9,0
1,b,ol,oh,0,0,A2KRPK3GQR0GA9,0
1,g,ol,ol,0,3,A2KRPK3GQR0GA9,3
1,m,ol,ih,0,-3,A2KRPK3GQR0GA9,-3
1,f,ih,oh,0,0,A3FAF93BMDJLAL,0
1,b,ih,il,0,-3,A3FAF93BMDJLAL,-3
1,g,ih,oh,0,0,A3FAF93BMDJLAL,0
1,m,il,il,0,3,A3FAF93BMDJLAL,3
1,f,ol,il,0,-3,A2TXZVXQU5FQZ9,-3
1,b,il,ih,0,-3,A2TXZVXQU5FQZ9,-3
1,g,il,ih,0,-3,A2TXZVXQU5FQZ9,-3
1,m,oh,oh,0,3,A2TXZVXQU5FQZ9,3
1,f,il,ih,0,-3,AVCOBHDVXZOZL,-3
1,b,oh,ol,0,0,AVCOBHDVXZOZL,0
1,g,oh,il,0,-3,AVCOBHDVXZOZL,-3
1,m,ih,ol,0,0,AVCOBHDVXZOZL,0
1,f,ol,ih,0,-3,A2WNTI69VVVWMZ,-3
1,b,il,ol,0,0,A2WNTI69VVVWMZ,0
1,g,ol,ih,0,-3,A2WNTI69VVVWMZ,-3
1,m,oh,il,0,-3,A2WNTI69VVVWMZ,-3
2,f,ol,ih,2,-3,A16XDO6MW9ZKMI,-5
2,f,ol,il,2,-3,A16XDO6MW9ZKMI,-5
2,f,ol,oh,0,-1,A16XDO6MW9ZKMI,-1
2,f,ol,ol,-1,3,A16XDO6MW9ZKMI,4
2,b,ih,ih,1,3,A16XDO6MW9ZKMI,2
2,b,ih,il,1,-3,A16XDO6MW9ZKMI,-4
2,b,ih,oh,2,2,A16XDO6MW9ZKMI,0
2,b,ih,ol,2,1,A16XDO6MW9ZKMI,-1
2,g,ih,ih,3,3,A16XDO6MW9ZKMI,0
2,g,ih,il,1,-2,A16XDO6MW9ZKMI,-3
2,g,ih,oh,1,1,A16XDO6MW9ZKMI,0
2,g,ih,ol,1,1,A16XDO6MW9ZKMI,0
2,m,oh,ih,3,-3,A16XDO6MW9ZKMI,-6
2,m,oh,il,3,-2,A16XDO6MW9ZKMI,-5
2,m,oh,oh,1,3,A16XDO6MW9ZKMI,2
2,m,oh,ol,2,-1,A16XDO6MW9ZKMI,-3
2,f,oh,ih,2,-3,A1XBWSV6TWJUU8,-5
2,f,oh,il,3,-3,A1XBWSV6TWJUU8,-6
2,f,oh,oh,-2,3,A1XBWSV6TWJUU8,5
2,f,oh,ol,-1,-3,A1XBWSV6TWJUU8,-2
2,b,oh,ih,1,-3,A1XBWSV6TWJUU8,-4
2,b,oh,il,-2,-3,A1XBWSV6TWJUU8,-1
2,b,oh,oh,1,3,A1XBWSV6TWJUU8,2
2,b,oh,ol,3,-3,A1XBWSV6TWJUU8,-6
2,g,il,ih,2,-3,A1XBWSV6TWJUU8,-5
2,g,il,il,1,3,A1XBWSV6TWJUU8,2
2,g,il,oh,0,-3,A1XBWSV6TWJUU8,-3
2,g,il,ol,2,-3,A1XBWSV6TWJUU8,-5
2,m,ol,ih,3,-3,A1XBWSV6TWJUU8,-6
2,m,ol,il,2,-3,A1XBWSV6TWJUU8,-5
2,m,ol,oh,-1,-3,A1XBWSV6TWJUU8,-2
2,m,ol,ol,2,3,A1XBWSV6TWJUU8,1
2,f,ih,ih,-2,3,A3T9OPOX78GYUI,5
2,f,ih,il,3,-3,A3T9OPOX78GYUI,-6
2,f,ih,oh,-1,0,A3T9OPOX78GYUI,1
2,f,ih,ol,3,0,A3T9OPOX78GYUI,-3
2,b,oh,ih,3,-3,A3T9OPOX78GYUI,-6
2,b,oh,il,-2,-3,A3T9OPOX78GYUI,-1
2,b,oh,oh,3,3,A3T9OPOX78GYUI,0
2,b,oh,ol,3,0,A3T9OPOX78GYUI,-3
2,g,oh,ih,3,-3,A3T9OPOX78GYUI,-6
2,g,oh,il,3,0,A3T9OPOX78GYUI,-3
2,g,oh,oh,3,3,A3T9OPOX78GYUI,0
2,g,oh,ol,3,0,A3T9OPOX78GYUI,-3
2,m,ol,ih,3,-3,A3T9OPOX78GYUI,-6
2,m,ol,il,1,0,A3T9OPOX78GYUI,-1
2,m,ol,oh,1,0,A3T9OPOX78GYUI,-1
2,m,ol,ol,3,3,A3T9OPOX78GYUI,0
2,f,oh,ih,3,-3,A19PHCM3FHZMC1,-6
2,f,oh,il,3,-3,A19PHCM3FHZMC1,-6
2,f,oh,oh,0,3,A19PHCM3FHZMC1,3
2,f,oh,ol,-2,-2,A19PHCM3FHZMC1,0
2,b,ol,ih,3,-3,A19PHCM3FHZMC1,-6
2,b,ol,il,-2,-2,A19PHCM3FHZMC1,0
2,b,ol,oh,1,1,A19PHCM3FHZMC1,0
2,b,ol,ol,1,3,A19PHCM3FHZMC1,2
2,g,oh,ih,-2,-3,A19PHCM3FHZMC1,-1
2,g,oh,il,-2,-2,A19PHCM3FHZMC1,0
2,g,oh,oh,-1,3,A19PHCM3FHZMC1,4
2,g,oh,ol,2,2,A19PHCM3FHZMC1,0
2,m,il,ih,2,-3,A19PHCM3FHZMC1,-5
2,m,il,il,-2,3,A19PHCM3FHZMC1,5
2,m,il,oh,3,3,A19PHCM3FHZMC1,0
2,m,il,ol,3,3,A19PHCM3FHZMC1,0
2,f,ol,ih,2,-3,AT84QRN7F1MCZ,-5
2,f,ol,il,2,-3,AT84QRN7F1MCZ,-5
2,f,ol,oh,-3,-3,AT84QRN7F1MCZ,0
2,f,ol,ol,-3,-3,AT84QRN7F1MCZ,0
2,b,ih,ih,2,3,AT84QRN7F1MCZ,1
2,b,ih,il,0,-3,AT84QRN7F1MCZ,-3
2,b,ih,oh,2,2,AT84QRN7F1MCZ,0
2,b,ih,ol,2,2,AT84QRN7F1MCZ,0
2,g,ol,ih,-1,-3,AT84QRN7F1MCZ,-2
2,g,ol,il,-3,-3,AT84QRN7F1MCZ,0
2,g,ol,oh,0,0,AT84QRN7F1MCZ,0
2,g,ol,ol,0,-3,AT84QRN7F1MCZ,-3
2,m,oh,ih,2,-3,AT84QRN7F1MCZ,-5
2,m,oh,il,3,-3,AT84QRN7F1MCZ,-6
2,m,oh,oh,0,3,AT84QRN7F1MCZ,3
2,m,oh,ol,0,-3,AT84QRN7F1MCZ,-3
2,f,il,ih,3,-3,A27VT43UE97H8V,-6
2,f,il,il,1,3,A27VT43UE97H8V,2
2,f,il,oh,-1,-3,A27VT43UE97H8V,-2
2,f,il,ol,-2,-1,A27VT43UE97H8V,1
2,b,il,ih,3,3,A27VT43UE97H8V,0
2,b,il,il,-2,3,A27VT43UE97H8V,5
2,b,il,oh,1,1,A27VT43UE97H8V,0
2,b,il,ol,0,0,A27VT43UE97H8V,0
2,g,oh,ih,1,-1,A27VT43UE97H8V,-2
2,g,oh,il,-1,-1,A27VT43UE97H8V,0
2,g,oh,oh,-1,3,A27VT43UE97H8V,4
2,g,oh,ol,1,1,A27VT43UE97H8V,0
2,m,il,ih,3,-2,A27VT43UE97H8V,-5
2,m,il,il,-1,3,A27VT43UE97H8V,4
